timestamp,model,input_tokens,output_tokens,total_tokens,cost_usd,success,error
2025-08-14T12:45:37.059792,llama3-70b-8192,1309,145,1454,0.000887,True,
2025-08-14T12:47:53.352836,llama3-70b-8192,1374,148,1522,0.000928,True,
2025-08-14T12:49:00.424741,llama3-70b-8192,1395,141,1536,0.000934,True,
2025-08-14T12:52:18.366965,llama3-70b-8192,1437,141,1578,0.000959,True,
2025-08-14T12:52:27.990550,llama3-70b-8192,1352,145,1497,0.000912,True,
2025-08-14T12:53:40.389168,llama3-70b-8192,1318,141,1459,0.000889,True,
2025-08-14T12:56:41.845204,llama3-70b-8192,1352,141,1493,0.000909,True,
2025-08-14T12:57:32.778821,llama3-70b-8192,1314,137,1451,0.000883,True,
2025-08-14T13:16:01.228334,llama3-70b-8192,1313,136,1449,0.000882,True,
2025-08-14T13:19:53.893104,llama3-70b-8192,1301,161,1462,0.000895,True,
2025-08-14T13:20:18.870685,llama3-70b-8192,1419,147,1566,0.000953,True,
2025-08-14T13:30:36.277106,llama3-70b-8192,1341,136,1477,0.000899,True,
2025-08-14T13:39:39.614488,llama3-70b-8192,1376,144,1520,0.000926,True,
2025-08-15T14:14:41.946202,claude-opus-4-20250514,1575,194,1769,0.038175,True,
2025-08-15T10:50:04.913542,claude-opus-4-20250514,1484,232,1716,0.039660,True,
2025-08-15T10:51:06.592971,claude-opus-4-20250514,1534,181,1715,0.036585,True,
2025-08-15T10:56:53.183350,claude-opus-4-20250514,1484,207,1691,0.037785,True,
